company,description,job,location,type
Rocket Lab,"Rocket Lab, , Rocket Lab is a vertically integrated provider of small launch services, satellites, and spacecraft components. Our mission is to open access to space to improve life on Earth. Our team is over 1,300 people strong and we're adding to it every week. Collaboration is at our core - every idea is heard, and everyone makes a difference. Teams are nimble, decisions are made quickly, and we are action oriented., ,While other companies talk about it, we do it!, , ,About the role, , Lead the team to deliver a global focus on all the infrastructure and software that will enable Rocket Lab Engineers and Space Ops Personnel to deliver our world class Space System capabilities. Manage and provide effective guidance to the team. Set goals, tasks, and deadlines as well as KPIs and other metrics to provide well defined performance expectations. Discover training needs and provide coaching., , Contribute to AoP goals, initiatives, projects, budgets, and reporting., , Provides subject matter expertise, advise, and guidance to deliver and support highly reliable and available IT systems through efficient management of the systems that support Space Systems and the delivery of projects., , Lead project scoping, planning, and deployment for Space System infrastructure and new customer satellite commissioning projects., , Lead the Space Systems IT Infrastructure Standards function(s) at Rocket Lab through the implementation of Standards for the deployment and management of the Space System infra environments to ensure:, , · compliance with Rocket Lab Policies, , · compliance with Cybersecurity policies, standards, and procedures., , · simplified and consistent environment management practises, , · automated build and maintenance processes, , · improvements to increase reliability of systems, , · system High Availability and Disaster Recovery, , · that the team is providing effective support, , · clear and concise reporting on usage, uptime, support levels, etc, , · comprehensive documentation of environments and support, , · efficient cost control, , Assist with all auditing requirements including NIST, SOX, and other customer requests., , Manage the team to perform upgrades, maintenance, and with a focus on continuous improvement to provide a reliable and secure infrastructure., , Work with a team of world class IT, engineering, and business professionals., , ,Essential skills,7+ years of experience in IT.,5+ of those years of experience in an Infrastructure focused technology role.,1+ of those years of experience in a leadership role or demonstrated ability to lead a team.,Advanced problem solving and analytical skills - able to see the big picture, make connections and appropriate decisions.,In-depth knowledge of one or more of the following:, , · Kubernetes, VMware, Linux, Windows, Configuration Management, Automation, and/or Infrastructure as Code., , · Server and Storage hardware, Backups, HA\DR\BC, Active Directory, Group Policy, Certificate Management (PKI), DNS, or DHCP.,Desirable skills,Scripting, automation, or Infrastructure as Code experience.,Security frameworks and technology: ISO 27001, NIST 800-171, IPSEC, SSL VPNs, firewalls, etc.,Network (LAN\WAN) and security product support experience.,Experience working with ground systems, high volume data transfers, launch operations, etc.,Rocket Lab Employee Benefits:,The opportunity to work on innovative and groundbreaking technology,An employee stock purchase program,Access to world leading experts to develop your career,Unlimited barista coffee, fruit, and snacks,Rocket Lab merchandise - T-shirts, mission patches etc.,Discounted health insurance with Southern Cross,Additional parental leave entitlements,A vibrant team culture with social activities throughout the year,Important information:, ,FOR CANDIDATES SEEKING TO WORK IN NEW ZEALAND OFFICES ONLY:, , ,For security reasons background checks will be undertaken prior to any employment offers being made to an applicant. These checks will include nationality checks as it is a requirement of this position that you be eligible to access equipment and data regulated by the United States' International Traffic in Arms Regulations. , , ,Under these Regulations, you may be ineligible for this role if you do not hold citizenship of Australia, Japan, New Zealand, Switzerland, the European Union or a country that is part of NATO, or if you hold ineligible dual citizenship or nationality. For more information on these Regulations, click here ITAR Regulations.",Team Lead - Space Systems Infrastructure,"Mount Wellington, Auckland",Full time
Windsor Doors Limited,"BX Bunka New Zealand, specifically Windsor Doors is looking for a competent individual to fill the role of IT Support on a permanent full-time basis, based in our office in Takanini.  This is an excellent opportunity to be part of our ANZ IT Department. ,The IT Support Officer's primary responsibilities will include:,Internal technical support,Supporting and Maintaining Company Systems and Applications,Hardware deployment and maintenance,Network Maintenance,Contribute to IT Projects,Documentation,Training, ,The ideal applicant will have:,Must have a minimum of 3-5 years' experience with at least a level 2 & 3 support skillset,Tertiary qualifications in IT and/or equivalent experience (e.g. BIT, MCP and ITIL ),A sound working knowledge of Office365, Active Directory, Group Policy, MS Exchange, MS SQL, MS SharePoint Online, MS Office, Windows 10-11, Server 2012-2022, Cisco Switches/Routers/Infrastructure, MPLS/SD-WAN and scripting.,Knowledge of or ability to rapidly acquire knowledge of ERP/Financial/Manufacturing systems like Myob Exo, Myob Advanced, Sage X3, IT ticketing and system monitoring tools, Vmware, Veeam, Palo Alto, Firewalls, AV, Cisco UC, Cisco WxC, Cisco Meraki, Microsoft Endpoint Manager, Android, iOS, Barracuda Suite, Linux Web Hosting, Azure, AWS will be highly regarded.,Strong Problem solving, time management and organisational skills,Excellent telephone support skills are essential,Ability to work in a team environment,Available to work 40hrs per week.,If you are looking for a new and exciting opportunity, then apply now, ",IT support Officer,"Takanini, Auckland",Full time
Fisher & Paykel Healthcare,"Company description:,Fisher & Paykel Healthcare is a world leader in the design, manufacture and marketing of medical devices, exporting to over 120 countries globally. We are an iconic New Zealand company with a consistent growth strategy ensuring an expanding range of innovative devices for use in respiratory care, acute care and the treatment of obstructive sleep apnea.,Job description:,About us:, Fisher & Paykel Healthcare is a leading designer, manufacturer and marketer of products and systems for use in acute and chronic respiratory care, surgery, and the treatment of obstructive sleep apnea.,About the role:, We have an exciting development opportunity for a motivated and self-driven graduate to join our Service Desk team. As an ICT Graduate your day would involve serving internal customers & resolving tickets giving you exposure to operational excellence and industry leading ICT tools such as Microsoft solutions, SAP, CAD Design software and Endpoint Computer System Management. Also, as we work towards delivering new solutions and upgrades, you will get hands on Project experience and will learn to apply continuous improvement techniques to optimise and improve processes.,There will be requirement-based rotation opportunities across the various ICT teams, including Network Infrastructure, Project Delivery, Production line support and Cloud applications.,This role is about being proactive and engaging with our people in the business and understanding what is important to keep operations running. You'll be supported through problem management practices to improve our service and your responsibilities and skill set will expand fast while being a critical member of our large ICT team servicing NZ and the rest of the world.,About You:, You don't necessarily need experience beyond your degree, but will want to understand technology, solve problems and immerse yourself in how our business operates.,You will ideally have:, ,A tertiary qualification in Computer Science, Information Systems, or similar, ,Understanding of Computer Hardware, ,Problem solving skills, ,Basic knowledge of Network infrastructure, ,The ability to work autonomously, ,Relationship building and networking skills, ,Excellent verbal and written communication skills, ,Demonstrated time management and organisational management skills, ,Exposure in a customer-service related or similar role would be advantageous but not necessary , ,If you have a passion for delivering the best possible experience through customer service, along with a creative and self-driven outlook, then we are looking forward to hearing from you. , ,Requisition ID: 3438 ,Posting end date: ​11/06/2023​​​",ICT Graduate,"Manukau & East Auckland, Auckland",Full time
Oritain Global Limited,"About us: , ,Our Vision is to be the world's leading verifier of authenticity through Science and Data Science., ,Be part of a New Zealand success story – Oritain was founded, and is still headquartered, in Dunedin.  Now Oritain is global, with additional hubs in Auckland, London, Washington DC, and Zug. ,Our unique solution provides data insights and scientific traceability that helps some of the biggest brands in the world understand more about where their products originate from, helping to build trust and integrity within their supply chains whilst reducing the impact on the environment and society by tackling issues such as deforestation and modern slavery in supply chains.    ,We are an innovative data company with big global ambition, and we need people who share our passion to be commercially successful and create powerful positive impact. , ,About the role:, ,Due to sustained growth within the business, an exciting opportunity has opened for a highly skilled full-time IT Service Delivery Analyst to join our IT team based at our Dunedin office.  ,This is a fantastic opportunity to enhance your career with a meaningful role! ,As a IT Service Delivery Analyst you will be responsible for ensuring that the IT services are delivered to our users in a timely and efficient manner. The role will require strong technical and problem-solving skills. ,The ideal candidate will have experience in,Supporting end users with Microsoft desktop and web systems,Web applications,General IT hardware,VC systems,Knowledge of SharePoint,Knowledge of Microsoft 365 and Azure is essential,Knowledge of ITIL, Trello, and NetSuite, is desirable,This role will provide end-to-end service delivery to staff in Dunedin and Auckland. You will act as the primary point of contact for IT service requests and incidents. You will be working with other teams to identify and resolve issues. Will be required to develop and maintain documentation of processes and procedures and continuously identify opportunities to improve them. Working with our 3rd party contractors ensuring timely and efficient delivery of our IT services. You would collaborate with the 24x7 helpdesk to ensure timely and accurate resolution of incidents. Some infrequent travel may be required at times for some hands on work in our Auckland office. ,For this role it would be a requirement that you are working in the office Monday to Friday all day to be that primary contact onsite. , ,About you: , ,2+ years of experience in IT service delivery/support,Strong analytical and problem-solving skills,Ability to work independently and as part of a team,Great documentation with attention to detail,Experience working with third-party contractors,Knowledge of SharePoint, Microsoft 365 and Azure,Knowledge of basic networking, ,Desirable experience,Knowledge of ITIL,Trello and NetSuite,CompTIA A+ and Microsoft certifications,Cisco Meraki Knowledge/Certifications. , ,What we offer you:,An opportunity to enhance your career with an Organisation that has a strong sense of purpose - you will help companies to protect the integrity of their product and to mitigate the risk in global supply chains. ,You will also be exposed to a wide variety of people and areas within the business and be given the opportunity to learn from a highly skilled and passionate team.  ,You must have the right to live and work in New Zealand to apply. For a confidential discussion, or to request the position description, please email ,[email protected],. Applications close 18 June 2023. Please apply via Seek only.,www.oritain.com, ,Diversity,Oritain is committed to its mission to build a world-class business that evolves for decades to come and helps create tangible change in the world. As global citizens, we are therefore committed to continuing to grow a diverse, equitable and inclusive workplace, and our ‘one team’ approach is a trusted commitment which run through everything we do.,Please note: Studies have shown that under-represented groups are less likely to apply to jobs unless they meet every single qualification. As part of our dedication to diversity, we at Oritain encourage applicants that are excited about the role and company to apply anyways even if their past experience doesn’t always align perfectly with every qualification in the job description.",IT Service Delivery Analyst,"Dunedin Central, Otago",Full time
Aiscorp Limited,"An exciting opportunity in a dynamic company for an enthusiastic, self-motivated person with great interpersonal skills to technically support clients. Our customers are spread across the greater Wellington region, overseas and range from large corporate to small private clients.  ,It will involve providing onsite and remote support and will include M365, server administration and maintenance.  The environment is diverse and challenging and will provide opportunity to gain a wider breadth of experience within a supportive team. ,Aiscorp has a strong team collaborative culture and we look for people that will fit well within our team and will actively promote our values.,This role will be focused on supporting our commercial client base. , ,Technical requirements: ,3-5 years experience as a Technical Support Engineer, Desktop Support Engineer, IT Help Desk Technician or similar role,Preferably a Diploma in IT level 5 or above,Microsoft qualifications desirable,Experience in:,Desktop and server related troubleshooting, repair and management,MS365 and/or G Suite experience,Windows Operating Systems and familiarity with macOS, IOS and Chrome,Installing, configuring and troubleshooting software,Managing Users and Devices in AD and Azure AD,Understanding of virtualized environments (VMWare and Hyper-V),Understanding of Network switching and routing,Familiarity with remote desktop applications and help desk software (eg. Autotask, Datto RMM),Other requirements: ,Great communication skills,Taking ownership of customer issues reported and seeing problems through to resolution,The ability to manage your time effectively, work under pressure and meet deadlines,Following standard procedures for proper escalation of unresolved issues to the appropriate internal teams,A strong desire to play your part in keeping up our excellent reputation for service and reliability,Ability to provide step-by-step technical help, both written and verbal,Self-motivation that enables you to work autonomously and consistently,You must have a current NZ Drivers' Licence and be able to pass a NZ Police check,The successful applicant will be: ,Passionate about good service and delivering a high-quality solution,Able and willing to learn and ‘keep on the edge’,A team player who is willing to work as part of a dynamic and successful team,Able to quickly build rapport with clients,Able to use initiative effectively,Able to effectively prioritise and execute tasks in a high pressure environment,Applicants for this position must have NZ residency or a valid NZ work visa, be able to pass a NZ Police vetting check and must be able to attend an interview in Wellington. The ability to commence this position as soon as possible, in Wellington, is important.  ,This role is a fantastic opportunity to commence your career and know that you’re a vital part in this company’s success. If this description ticks all your boxes, then we look forward to your application through SEEK  including your CV and cover letter. ",Support Technician,"Johnsonville, Wellington",Full time
Private Advertiser,"MSP,Managed Service Provider with a reputation for delivering technical excellence. Opportunity to grow and travel across the Auckland and NZ.,Offers you the ability to…,Work with a wide range of emerging technologies.,Work with a team of skilled engineers and great people.,Join an environment that embraces learning and development of everyone.,The Role,As a result of our continued growth, we are looking for a Support Engineer to join us on a permanent basis, based in Manukau city. This role will provide both remote and on-site support work for clients Auckland wide.,Key Responsibilities:,Provide L2 and L3 support to clients and resolve technical issues.,Provide remote and onsite support to clients at various locations.,Maintain and administer systems including Windows OS, Microsoft Office suite, basic printing and server hardware and support. Including but not limited to end user support and working with external vendors as needed.,Maintain effective communications with your clients at all times., ,Essential skills and experience:,At least 5 years in a IT Support role is essential: ,Microsoft - Windows Server, O365, Windows 7-11, Active Directory, Exchange, VM Ware and Hyper-V systems.,Desktop administration, provisioning and troubleshooting.,Good time management, strong analytical and problem-solving skills, ,Desirable, ,skills include…,Prior experience within an outsourced service delivery environment or equivalent MSP defiantly and advantage. ,  ,To help you be effective, you will be provide: ,Company car ,Mobile phone",IT Systems Engineer ( Manukau City ),"Manukau, Auckland",Full time
Stream-line,"We are hiring! We are on the lookout for an IT Support Engineer who is as fanatical almost crazy as we are about providing the ultimate client experience to our much-valued clients.,This role will be responsible for infrastructure and system support for our major clients and Stream-line internal systems. We are looking for a candidate with technical excellence to join the team!,We value our cultural fit, positivity and natural ability to understand, relate and translate customer requirements and expectations.  It would help if you were self-managed with the right attitude to take ownership and execute success.,In addition to confidence and the ability to perform under pressure, we are looking for a Systems Engineer with the following;,Extensive experience with Small Business Microsoft environments on both desktops and servers.,Solid experience with Windows Server 2008 – 2019, Active Directory, Exchange, and Terminal Services.,Previous experience with VMWare ESXi or similar,Plus’s,- Experience with Microsoft Office 365 migrations.,- Previous experience with Microsoft Exchange & Terminal Services multi-tenancy and hosting environments,- Previous experience with ticketing systems and system monitoring tools.,- PSA and RMM experience are advantageous especially if related to SolarWinds RMM.,Experience in managing Linux servers.,Experience with LAMP server / PHP software,Must have exceptional troubleshooting and problem-solving skills.,Must have excellent customer service skills.,Exceptional written and verbal English skills.,Able to communicate with all levels in the company.,Show initiative, take responsibility and be proactive.,You must be confident with clients and professionally presented, with excellent communication skills.  We are also interested in relevant qualifications and certifications to support your application.,In this role, you can give our clients a technical edge. We are quickly growing, passionate about IT, and driven to excellence in everything we do.  Stream-line offers huge career potential and growth opportunities.,The role has a component of after-hours availability for when issues arise.  ,If you feel you are suitable please submit your CV and Cover Letter today by clicking the 'APPLY"" button below.,Applicants for this position should have NZ residency or a valid NZ work visa, ,Employer questions,Your application will include the following questions:, ,Which of the following statements best describes your right to work in New Zealand?, ,How many years experience do you have as a systems engineer?, ,How many years experience do you have in the IT industry?, ,Do you have a current New Zealand driver's licence?",IT Support Engineer,"Rosedale, Auckland",Full time
Air New Zealand,"The Field Services team is part of Employee Enablement which looks after platforms, solutions and hardware used by our employees. This role is responsible for efficiently managing digital work tasks that need to be performed on location to provide a great digital experience. As a Field Services Engineer you will have a sound understanding of architecture, networking, systems administration, implementation of PC applications and hardware support. Whilst you'll need to be comfortable working independently, you'll join our Field Services Team who enjoy a high level of collaboration.,
,This role will take you places, literally! There is an element of travel involved which will see you travel to support our domestic, regional, and international hubs.,
,This role is based at our Christchurch Airport Office and has an ,on-call, component.,
,Key responsibilities include:,
,
,Providing Field Services support at our Domestic, Regional and International hubs.,
,Deploy and maintain hardware.,
,Assisting the smooth implementation of new products, enhancements, upgrades and integration with new systems,
,Demonstrate outstanding customer service through exceptional quality, excellent verbal and written communication skills.  ,
,
,We're searching for an experienced Field Services Engineer who has multi-site support experience and can demonstrate the ability to work independently.,
,You must have NZ residency and be able to travel to all of our international sites., ,
,To be considered for this opportunity, apply online with an updated CV. For more information on this role, please refer to the attached position description. ,
,Applications close 9,th, ,June. Please note that we'll be moving quickly with this recruitment, so applications may close in advance of this date should we appoint a successful candidate.",Field Services Engineer - Christchurch,"Christchurch Central, Canterbury",Full time
AJ Hackett Bungy NZ,"WE ARE HIRING!,Senior Systems Engineer,This isn't your run-of-the-mill Senior Systems Engineer position.,We are seeking a seasoned Systems Engineer with a hands-on approach, who enjoys resolving issues and implementing new technologies. If you're someone who can thrive in an outdoors environment, even taking your skills off-road to remote WAN microwave retrans stations, and are passionate about working within a team where everyone relies on one another, then this opportunity is for you!,You will be working closely with our CIO as an integral part of our Tech team, supporting our ongoing business systems.,Required skills include:,Ability to work under pressure and within tight timeframes,Experience in network design, security, and configuration, including firewalls, switches, and storage systems,Proficiency with Fortinet, HP, Aruba, Ubiquiti, and other similar equipment,Solid understanding of routing protocols, WAN concepts, and tunnels,Experience with Active Directory and Server 2012 -2022,Prior experience in an IT helpdesk role providing up to level 3 technical support,Skilled in configuring and supporting cloud-based solutions, including the full O365 stack (e.g. AAD, Intune, Defender),Experience with Mimecast, CloudFlare, and other systems, with a good understanding of public DNS services, and ability to configure and manage SPF, DKIM, DMARC, etc.,Familiarity with Windows Enterprise OS, including updates, issue identification, and resolution,Experience using a service desk utility such as Solarwinds, JIRA or Freshdesk,Flexibility to work variable hours, including weekends,Eligibility to work in New Zealand,Current full New Zealand driver’s license, ,Beneficial experience includes:,Microsoft Azure and hosted infrastructure,MDM solutions such as ManageEngine, Intune,Automation solutions, scripting, and a basic understanding of various programming languages,Desktop/Patch management systems like ManageEngine, WSUS,Endpoint protection solutions such as TrendMicro, CrowdStrike,Technical domain knowledge including virtualisation (VMWare or Hypervisor),Experience with Microsoft Teams and SharePoint,Strong wireless technology knowledge.,If this sounds like you we'd love to hear from you! ",Senior Systems Engineer,"Queenstown, Otago",Full time
Greater Wellington,"We're looking for an Applications Support Engineer to join our friendly & focussed ICT Applications Team. This role is permanent and full-time, based in our central Wellington office.,About the role:,The Applications Support Engineer is a key role in the GW Applications Team. We need someone who is ready to hit the ground running and wow the team with their application knowledge and support process experience.,This role is the first point of contact for 2nd level application support in the Applications Team. You will work closely with the ICT Service Desk and resolver groups across ICT to quickly and effectively solve issues, complete service requests and handle support calls for the GW business teams.,While the majority of your time will be working on level 2 support you will also have the opportunity to participate in a cross-functional Agile delivery team to work on new business and ICT initiatives.,This is an ideal role for someone who is looking for an opportunity to build on a strong application support background with a career path into other Application or DevOps roles.,Skills and experience required:,You will enjoy supporting business users across a range of applications, collaborating across ICT to solve problems, deliver requests and achieve service level targets.,Your experience should include some or all of the following:,2-3 years or more in application support and maintenance including experience working with external vendors.,Awesome communication skills applied with both internal customers and technical team members/resolver groups.,Understanding of application configuration, networking security, databases, and cloud systems.,Ability to use ICT Service Desk systems effectively (e.g. HALO) including producing reports on support process performance and identifying repeating issues to propose future improvements.,Understanding of ITIL (IT Infrastructure Library) and Scrum/Agile will be beneficial.,Knowledge of best practices within process area and strong business / functional knowledge within relevant process area.,What we offer:,Work to suit your life and whānau with our flexible working policy.,We'll encourage you to grow and prosper with a range of learning and development opportunities, internal secondments and career progression,Your wellbeing is our priority - we'll provide medical and trauma insurance, support through our employee assistance programme or Manawa Ora providers, generous annual and sick leave, along with Tangihanga leave and support,We want you to have a sense of belonging, where you can reflect your personal and cultural identity in the way that you work.,Social clubs, staff networks and a friendly and inclusive culture.,Great working environments from the bush to our central Cuba Street or Masterton offices (or the Hutt Valley/Kapiti Coast).,Come help treasure and grow our rohe together,Our rohe and its lands, waterways, animals, plants and people can only grow stronger if they are nurtured.,To join our team is to step up and commit to playing an active part in this important mahi. That means restoring nature, connecting people and places, reducing environmental impacts, and helping this rohe and its people prosper.,We are committed to Te Tiriti o Waitangi and support mana whenua as Kaitiaki. We're also part of a collective movement alongside our community members whose hopes for the future of this region are just as high as your own.,Our efforts across environmental management, public transport, flood protection, regional parks and water supply are interconnected and integral to treasuring our rohe and growing our future.,How to apply:,Greater Wellington is proud to be a member of Diversity Works. We value diversity and are committed to an inclusive, flexible, and supportive workplace. We encourage candidates from all backgrounds and welcome the unique talent and experience you will bring to our team.,Click on the Apply link to view the job description and to apply for the role with a cover letter and CV.,For further information, please contact Bret Richdale at ,[email protected],Applications close: ,5.00pm, Friday 2nd June 2023,The salary range for this position, inclusive of all benefits, is: $69,590 - $104,385 ,Starting remuneration will depend on the skills and experience of the successful applicant,All applicants will be required to provide proof of their eligibility to work in New Zealand.",Applications Support Engineer,"Wellington Central, Wellington",Full time
